"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1812.76497451795
"FDW14","OUT017",1586.231993009
"NCN55","OUT010",1871.91172320907
"FDQ58","OUT017",2592.49967962146
"FDY38","OUT027",5194.48467318656
"FDH56","OUT046",1920.98312562766
"FDL48","OUT018",575.689877512468
"FDC48","OUT027",2795.62199253565
"FDN33","OUT045",1488.03502858087
"FDA36","OUT017",3068.1479005159
"FDT44","OUT017",1986.78512580544
"FDQ56","OUT045",1320.18030535257
"NCC54","OUT019",1848.67181672778
"FDU11","OUT049",2009.28734669719
"DRL59","OUT013",876.314146805545
"FDM24","OUT049",2553.59366088107
"FDI57","OUT045",3090.87489288491
"DRC12","OUT018",2762.31999297566
"NCM42","OUT027",3171.00542244314
"FDA46","OUT010",1140.07808174946
"FDA31","OUT013",2816.34695606054
"NCJ31","OUT035",3869.06196396427
"FDG52","OUT046",803.627486357913
"NCL19","OUT019",390.000860714028
"FDS10","OUT035",3017.86128717982
"FDX22","OUT010",1436.0845230358
"NCF19","OUT035",932.669951151354
"NCE06","OUT046",2534.88587660728
"DRC27","OUT046",3859.60164108944
"FDE21","OUT035",2026.99587125006
"NCR42","OUT019",-1316.63489320589
"FDX51","OUT018",2886.53732637544
"NCR06","OUT018",449.528393402516
"FDU31","OUT027",4961.53717932618
"FDU59","OUT017",2716.40190989336
"FDR03","OUT027",4769.46413252546
"FDS49","OUT027",2770.5515915685
"FDD48","OUT010",-87.5397948809039
"NCF18","OUT017",3122.11695235752
"NCD43","OUT027",3098.61126153574
"NCD54","OUT018",2005.42630688255
"FDY19","OUT010",-56.4105456146042
"NCY54","OUT017",2829.87205978223
"NCL19","OUT018",2048.30024452284
"FDP23","OUT010",1525.16853456512
"FDC26","OUT013",1809.42116057002
"FDR14","OUT010",-1022.82107666655
"NCS41","OUT035",3047.55966753418
"FDF41","OUT035",4044.61029613836
"FDU34","OUT046",1965.04645158427
"DRH11","OUT046",897.552161662571
"FDM03","OUT013",1744.56261844199
"FDS31","OUT017",3051.86074003955
"FDJ20","OUT017",2072.22883097162
"FDV44","OUT027",4508.99936107349
"FDG02","OUT049",3105.35530834584
"FDA09","OUT013",2919.0817362803
"FDT04","OUT013",683.922469929987
"FDL58","OUT019",2247.83207744004
"FDE52","OUT045",1463.53987983154
"FDW12","OUT035",2524.79979598199
"FDL51","OUT017",3548.20719326007
"NCY42","OUT027",3706.74654800834
"FDR07","OUT017",1653.24387700885
"FDN40","OUT045",2359.09494380121
"FDB35","OUT027",2961.08248915893
"FDA22","OUT017",2740.34920767639
"NCL06","OUT046",4111.35214097886
"FDI35","OUT013",2924.44574434844
"NCW42","OUT045",3408.09565498401
"NCX06","OUT049",2951.40081456402
"FDC37","OUT027",3187.1773255855
"FDZ14","OUT018",1718.57359963063
"DRG49","OUT049",3936.92546162245
